Entity,Code,Year,trust doctors and nurses,disagree vaccines are safe,Continent
Abkhazia,OWID_ABK,2015,,,Asia
Afghanistan,AFG,2018,73.44479,4.470985575,
Afghanistan,AFG,2015,,,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia
Albania,ALB,2018,67.53741293,15.84816122,
Albania,ALB,2015,,,Europe
Algeria,DZA,2018,64.20654271,11.27569803,
Algeria,DZA,2015,,,Africa
American Samoa,ASM,2015,,,Oceania
Andorra,AND,2015,,,Europe
Angola,AGO,2015,,,Africa
Anguilla,AIA,2015,,,North America
Antarctica,ATA,2015,,,Antarctica
Antigua and Barbuda,ATG,2015,,,North America
Argentina,ARG,2018,89.40487393,4.845372479,
Argentina,ARG,2015,,,South America
Armenia,ARM,2018,74.02420439,20.57026165,
Armenia,ARM,2015,,,Asia
Aruba,ABW,2015,,,North America
Australia,AUS,2018,95.97211475,6.906214946,
Australia,AUS,2015,,,Oceania
Australia/New Zealand,,2018,96,7,
Austria,AUT,2018,93.88728003,21.05363097,
Austria,AUT,2015,,,Europe
Austria-Hungary,OWID_AUH,2015,,,Europe
Azerbaijan,AZE,2018,82.42274925,11.22187567,
Azerbaijan,AZE,2015,,,Asia
Baden,OWID_BAD,2015,,,Europe
Bahamas,BHS,2015,,,North America
Bahrain,BHR,2015,,,Asia
Bangladesh,BGD,2018,89.73409995,0.908196083,
Bangladesh,BGD,2015,,,Asia
Barbados,BRB,2015,,,North America
Bavaria,OWID_BAV,2015,,,Europe
Belarus,BLR,2018,77.72965338,14.77494701,
Belarus,BLR,2015,,,Europe
Belgium,BEL,2018,96.73120297,20.63709549,
Belgium,BEL,2015,,,Europe
Belize,BLZ,2015,,,North America
Benin,BEN,2018,49.76686575,14.01966423,
Benin,BEN,2015,,,Africa
Bermuda,BMU,2015,,,North America
Bhutan,BTN,2015,,,Asia
Bolivia,BOL,2018,64.40238814,13.10435207,
Bolivia,BOL,2015,,,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,North America
Bosnia and Herzegovina,BIH,2018,75.46247621,8.300703246,
Bosnia and Herzegovina,BIH,2015,,,Europe
Botswana,BWA,2018,64.74549043,9.001017043,
Botswana,BWA,2015,,,Africa
Bouvet Island,BVT,2015,,,Antarctica
Brazil,BRA,2018,72.62909074,9.042356185,
Brazil,BRA,2015,,,South America
British Indian Ocean Territory,IOT,2015,,,Asia
British Virgin Islands,VGB,2015,,,North America
Brunei,BRN,2015,,,Asia
Bulgaria,BGR,2018,80.79629579,15.61304414,
Bulgaria,BGR,2015,,,Europe
Burkina Faso,BFA,2018,74.75634286,20.75256443,
Burkina Faso,BFA,2015,,,Africa
Burundi,BDI,2018,66.13060089,6.529531228,
Burundi,BDI,2015,,,Africa
Cambodia,KHM,2018,82.48974655,7.541631375,
Cambodia,KHM,2015,,,Asia
Cameroon,CMR,2018,63.27670194,13.10581138,
Cameroon,CMR,2015,,,Africa
Canada,CAN,2018,94.25868259,8.322632874,
Canada,CAN,2015,,,North America
Cape Verde,CPV,2015,,,Africa
Cayman Islands,CYM,2015,,,North America
Central Africa,,2018,57,14,
Central African Republic,CAF,2015,,,Africa
Central America and Mexico,,2018,81,7,
Central Asia,,2018,87,7,
Chad,TCD,2018,51.87274218,10.0500689,
Chad,TCD,2015,,,Africa
Channel Islands,OWID_CIS,2015,,,Europe
Chile,CHL,2018,75.70090359,11.37743281,
Chile,CHL,2015,,,South America
China,CHN,2018,78.09153256,8.290823545,
China,CHN,2015,,,Asia
Christmas Island,CXR,2015,,,Asia
Cocos Islands,CCK,2015,,,Asia
Colombia,COL,2018,70.36261044,10.70378513,
Colombia,COL,2015,,,South America
Comoros,COM,2018,51.63248047,7.505970773,
Comoros,COM,2015,,,Africa
Congo,COG,2018,43.4283108,17.50763411,
Congo,COG,2015,,,Africa
Cook Islands,COK,2015,,,Oceania
Costa Rica,CRI,2018,84.78545401,5.810229365,
Costa Rica,CRI,2015,,,North America
Cote d'Ivoire,CIV,2018,54.73376348,16.35067072,
Cote d'Ivoire,CIV,2015,,,Africa
Croatia,HRV,2018,91.46716257,6.794648185,
Croatia,HRV,2015,,,Europe
Cuba,CUB,2015,,,North America
Curacao,CUW,2015,,,North America
Cyprus,CYP,2018,74.4067518,9.859631777,
Cyprus,CYP,2015,,,Europe
Czechia,CZE,2018,90.89351156,6.603516208,
Czechia,CZE,2015,,,Europe
Czechoslovakia,OWID_CZS,2015,,,Europe
Democratic Republic of Congo,COD,2015,,,Africa
Denmark,DNK,2018,97.15014997,8.979714929,
Denmark,DNK,2015,,,Europe
Djibouti,DJI,2015,,,Africa
Dominica,DMA,2015,,,North America
Dominican Republic,DOM,2018,84.21856599,4.905058752,
Dominican Republic,DOM,2015,,,North America
East Asia,,2018,80,8,
East Germany,OWID_GDR,2015,,,Europe
Eastern Africa,,2018,81,5,
Eastern Europe,,2018,75,17,
Ecuador,ECU,2018,75.13579245,5.392728845,
Ecuador,ECU,2015,,,South America
Egypt,EGY,2018,90.67788026,0.588238907,
Egypt,EGY,2015,,,Africa
El Salvador,SLV,2018,75.46951149,11.38611622,
El Salvador,SLV,2015,,,North America
Equatorial Guinea,GNQ,2015,,,Africa
Eritrea,ERI,2015,,,Africa
